"","state_abbr","county_name","votes_dem_2016","votes_gop_2016","votes_dem_2012","votes_gop_2012"
"952","KS","Stanton County",132,580,135,571
"953","KS","Stevens County",215,1564,241,1724
"954","KS","Sumner County",2039,6844,2617,6162
"955","KS","Thomas County",467,2832,576,2729
"956","KS","Trego County",193,1211,289,1230
"957","KS","Wabaunsee County",773,2358,908,2230
"958","KS","Wallace County",45,711,68,702
"959","KS","Washington County",378,2136,515,2300
"960","KS","Wichita County",139,765,157,821
"961","KS","Wilson County",550,2747,813,2812
"962","KS","Woodson County",270,1063,377,1030
"963","KS","Wyandotte County",29346,15520,33265,15273
"964","KY","Adair County",1323,6637,1660,5841
"965","KY","Allen County",1349,6466,1808,5184
"966","KY","Anderson County",2634,8242,3315,6822
"967","KY","Ballard County",816,3161,1189,2647
"968","KY","Barren County",4275,13483,5400,10922
"969","KY","Bath County",1361,3082,1770,2275
"970","KY","Bell County",1720,7764,2224,7127
"971","KY","Boone County",15026,39082,15628,35920
"972","KY","Bourbon County",2791,5569,3075,4692
"973","KY","Boyd County",6021,13591,7776,10883
"974","KY","Boyle County",4281,8040,4471,7703
"975","KY","Bracken County",705,2711,1147,2029
"976","KY","Breathitt County",1537,3991,1562,3318
"977","KY","Breckinridge County",1960,6484,2825,5025
"978","KY","Bullitt County",8255,26210,9971,21306
"979","KY","Butler County",947,4428,1293,3716
"980","KY","Caldwell County",1260,4507,1852,3904
"981","KY","Calloway County",4749,10367,5314,9438
"982","KY","Campbell County",14658,25050,15080,24240
"983","KY","Carlisle County",432,2094,750,1835
"984","KY","Carroll County",1106,2588,1629,1999
"985","KY","Carter County",2276,7587,3383,5279
"986","KY","Casey County",767,5482,1086,4904
"987","KY","Christian County",7188,14108,8252,13475
"988","KY","Clark County",4706,10710,5228,9931
"989","KY","Clay County",752,5861,1111,6176
"990","KY","Clinton County",547,3809,752,3569
"991","KY","Crittenden County",617,3290,960,2839
"992","KY","Cumberland County",459,2502,599,2216
"993","KY","Daviess County",14163,28907,16208,25092
"994","KY","Edmonson County",979,4135,1374,3232
"995","KY","Elliott County",740,2000,1186,1126
"996","KY","Estill County",1108,4236,1356,3749
"997","KY","Fayette County",69776,56890,62078,60793
"998","KY","Fleming County",1348,4722,1911,3780
"999","KY","Floyd County",4015,11993,4733,9784
"1000","KY","Franklin County",10717,11819,11535,11345
"1001","KY","Fulton County",774,1549,1022,1425
"1002","KY","Gallatin County",749,2443,1238,1758
"1003","KY","Garrard County",1453,5904,1661,5310
"1004","KY","Grant County",1910,7268,2810,5664
"1005","KY","Graves County",3308,12671,4547,10699
"1006","KY","Grayson County",1959,8219,2744,6404
"1007","KY","Green County",832,4372,1165,3634
"1008","KY","Greenup County",4146,11546,6027,8855
"1009","KY","Hancock County",1244,2788,1833,2212
"1010","KY","Hardin County",13944,26970,15214,23357
"1011","KY","Harlan County",1372,9129,1830,8653
"1012","KY","Harrison County",2031,5435,2471,4556
"1013","KY","Hart County",1730,5320,2283,4256
"1014","KY","Henderson County",6707,12159,8091,10296
"1015","KY","Henry County",1828,4944,2529,3940
"1016","KY","Hickman County",449,1657,686,1431
"1017","KY","Hopkins County",4310,15277,5789,13681
"1018","KY","Jackson County",482,4889,612,4365
"1019","KY","Jefferson County",190824,143758,186164,148415
"1020","KY","Jessamine County",6144,15474,6001,14232
"1021","KY","Johnson County",1250,8043,1723,7095
"1022","KY","Kenton County",24213,42958,24917,41387
"1023","KY","Knott County",1245,4357,1420,4130
"1024","KY","Knox County",1761,9885,2484,8467
"1025","KY","Larue County",1278,4799,1733,3911
"1026","KY","Laurel County",3440,20592,3905,18151
"1027","KY","Lawrence County",1045,4816,1520,3995
"1028","KY","Lee County",444,2151,595,1977
"1029","KY","Leslie County",400,4015,433,4439
"1030","KY","Letcher County",1542,7293,1702,6811
"1031","KY","Lewis County",785,4363,1342,3326
"1032","KY","Lincoln County",1865,7338,2582,6416
"1033","KY","Livingston County",887,3570,1346,3089
"1034","KY","Logan County",2755,7778,3469,6899
"1035","KY","Lyon County",1045,2789,1373,2412
"1036","KY","Madison County",11793,23431,11512,21128
"1037","KY","Magoffin County",1172,3824,1433,3391
"1038","KY","Marion County",2679,5122,3418,3800
"1039","KY","Marshall County",3672,12322,5022,10402
"1040","KY","Martin County",363,3503,574,3180
"1041","KY","Mason County",1970,4944,2592,4197
"1042","KY","McCracken County",9134,20774,10062,19979
"1043","KY","McCreary County",664,5012,1069,4564
"1044","KY","McLean County",988,3381,1432,2705
"1045","KY","Meade County",3026,8660,4122,6606
"1046","KY","Menifee County",700,2010,1048,1484
"1047","KY","Mercer County",2395,7740,2966,6820
"1048","KY","Metcalfe County",976,3491,1425,2676
"1049","KY","Monroe County",601,4278,936,3762
"1050","KY","Montgomery County",3158,7856,3701,6398
"1051","KY","Morgan County",1006,3628,1369,3021
"1052","KY","Muhlenberg County",3272,9393,4771,7762
"1053","KY","Nelson County",6434,13430,7611,10673
"1054","KY","Nicholas County",787,1957,948,1583
"1055","KY","Ohio County",2080,7942,2987,6470
"1056","KY","Oldham County",10268,20469,9240,20179
"1057","KY","Owen County",1062,3745,1501,2971
"1058","KY","Owsley County",256,1474,283,1279
"1059","KY","Pendleton County",1164,4604,1859,3556
"1060","KY","Perry County",2136,8158,2047,8040
"1061","KY","Pike County",4277,19740,5645,17589
"1062","KY","Powell County",1272,3513,1620,2726
"1063","KY","Pulaski County",4208,22900,4976,20714
"1064","KY","Robertson County",222,759,340,579
"1065","KY","Rockcastle County",915,5609,1097,5028
"1066","KY","Rowan County",3295,5174,3438,4035
"1067","KY","Russell County",1093,6863,1445,6346
"1068","KY","Scott County",7713,15052,7532,12679
"1069","KY","Shelby County",6276,13196,6634,11790
"1070","KY","Simpson County",2144,5077,2650,4355
"1071","KY","Spencer County",1921,7196,2549,5726
"1072","KY","Taylor County",2553,8320,3284,7551
"1073","KY","Todd County",1042,3612,1403,3247
"1074","KY","Trigg County",1587,4928,2115,4520
"1075","KY","Trimble County",879,2771,1355,2133
"1076","KY","Union County",1331,4701,1941,3952
"1077","KY","Warren County",16966,28673,16805,26384
"1078","KY","Washington County",1420,4013,1669,3495
"1079","KY","Wayne County",1431,6370,1855,5289
"1080","KY","Webster County",1240,4397,1765,3607
"1081","KY","Whitley County",2067,11312,2683,10232
"1082","KY","Wolfe County",753,1804,976,1542
"1083","KY","Woodford County",4958,7697,4883,7218
"1084","LA","Acadia Parish",5638,21159,6559,19931
"1085","LA","Allen Parish",2106,6867,2616,6495
"1086","LA","Ascension Parish",16471,36135,16343,33846
"1087","LA","Assumption Parish",3931,6714,4754,6082
"1088","LA","Avoyelles Parish",5032,11163,6075,10667
"1089","LA","Beauregard Parish",2393,12238,2827,11111
"1090","LA","Bienville Parish",3129,3756,3490,3641
"1091","LA","Bossier Parish",12638,35451,12955,34986
"1092","LA","Caddo Parish",53448,48977,57879,52378
"1093","LA","Calcasieu Parish",26293,54182,28357,51844
"1094","LA","Caldwell Parish",788,3822,1016,3640
"1095","LA","Cameron Parish",323,3256,408,3260
"1096","LA","Catahoula Parish",1322,3479,1408,2744
"1097","LA","Claiborne Parish",2717,3585,3014,3649
"1098","LA","Concordia Parish",3272,5474,3833,5450
"1099","LA","De Soto Parish",5163,8067,5552,7353
"1100","LA","East Baton Rouge Parish",102711,84620,102460,92235
"1101","LA","East Carroll Parish",1838,1059,2244,1122
"1102","LA","East Feliciana Parish",4235,5569,4648,5397
"1103","LA","Evangeline Parish",4208,10357,5330,10176
"1104","LA","Franklin Parish",2506,6514,2921,6294
"1105","LA","Grant Parish",1181,7406,1421,7082
"1106","LA","Iberia Parish",10698,20903,12129,20890
"1107","LA","Iberville Parish",8324,7320,9548,7271
"1108","LA","Jackson Parish",2139,5169,2305,5132
"1109","LA","Jefferson Parish",73540,100292,70000,102325
"1110","LA","Jefferson Davis Parish",3080,10775,3483,10014
"1111","LA","Lafayette Parish",32726,68191,31766,64989
"1112","LA","Lafourche Parish",8423,31958,9543,28332
"1113","LA","La Salle Parish",605,5835,764,5726
"1114","LA","Lincoln Parish",7102,10761,7947,10731
"1115","LA","Livingston Parish",6950,48797,7448,45488
"1116","LA","Madison Parish",2744,1927,3154,2000
"1117","LA","Morehouse Parish",5155,6502,5887,6591
"1118","LA","Natchitoches Parish",7143,8965,7941,9077
"1119","LA","Orleans Parish",133833,24267,126199,27967
"1120","LA","Ouachita Parish",24420,41712,26629,40927
"1121","LA","Plaquemines Parish",3347,6900,3597,6469
"1122","LA","Pointe Coupee Parish",4764,6789,5436,6548
"1123","LA","Rapides Parish",18318,36814,20040,37187
"1124","LA","Red River Parish",1938,2391,2253,2483
"1125","LA","Richland Parish",3157,6286,4074,7316
